plate,wells,sequence,phosphorus level,species,replicate
1,B2,8,P1,scen,3
1,B3,3,P0.5,scen,3
1,B4,116,0,blank,1
1,B5,36,P20,scen,1
1,B6,103,P35,fist,3
1,B7,87,P8,fist,2
1,B8,105,P35,fist,5
1,B9,101,P35,fist,1
1,B10,115,0,blank,5
1,B11,10,P1,scen,5
1,C2,120,0,blank,5
1,C3,18,P4,scen,3
1,C4,13,P2,scen,3
1,C5,114,0,blank,4
1,C6,60,0,blank,5
1,C7,76,P4,fist,1
1,C8,107,P50,fist,2
1,C9,66,P1,fist,1
1,C10,2,P0.5,scen,2
1,C11,5,P0.5,scen,5
1,D2,25,P6,scen,5
1,D3,32,P10,scen,2
1,D4,45,P35,scen,5
1,D5,24,P6,scen,4
1,D6,23,P6,scen,3
1,D7,85,P6,fist,5
1,D8,34,P10,scen,4
1,D9,88,P8,fist,3
1,D10,72,P2,fist,2
1,D11,80,P4,fist,5
1,E2,99,P20,fist,4
1,E3,97,P20,fist,2
1,E4,19,P4,scen,4
1,E5,82,P6,fist,2
1,E6,110,P50,fist,5
1,E7,47,P50,scen,2
1,E8,64,P0.5,fist,4
1,E9,83,P6,fist,3
1,E10,50,P50,scen,5
1,E11,37,P20,scen,2
1,F2,55,0,blank,5
1,F3,11,P2,scen,1
1,F4,12,P2,scen,2
1,F5,94,P10,fist,4
1,F6,30,P8,scen,5
1,F7,79,P4,fist,4
1,F8,38,P20,scen,3
1,F9,75,P2,fist,5
1,F10,69,P1,fist,4
1,F11,48,P50,scen,3
1,G2,42,P35,scen,2
1,G3,26,P8,scen,1
1,G4,61,P0.5,fist,1
1,G5,35,P10,scen,5
1,G6,104,P35,fist,4
1,G7,91,P10,fist,1
1,G8,102,P35,fist,2
1,G9,117,0,blank,2
1,G10,51,0,blank,1
1,G11,92,P10,fist,2
2,B2,62,P0.5,fist,2
2,B3,98,P20,fist,3
2,B4,81,P6,fist,1
2,B5,16,P4,scen,1
2,B6,21,P6,scen,1
2,B7,9,P1,scen,4
2,B8,109,P50,fist,4
2,B9,6,P1,scen,1
2,B10,1,P0.5,scen,1
2,B11,58,0,blank,3
2,C2,77,P4,fist,2
2,C3,44,P35,scen,4
2,C4,15,P2,scen,5
2,C5,95,P10,fist,5
2,C6,59,0,blank,4
2,C7,40,P20,scen,5
2,C8,22,P6,scen,2
2,C9,119,0,blank,4
2,C10,31,P10,scen,1
2,C11,33,P10,scen,3
2,D2,111,0,blank,1
2,D3,7,P1,scen,2
2,D4,106,P50,fist,1
2,D5,53,0,blank,3
2,D6,52,0,blank,2
2,D7,57,0,blank,2
2,D8,20,P4,scen,5
2,D9,46,P50,scen,1
2,D10,27,P8,scen,2
2,D11,74,P2,fist,4
2,E2,78,P4,fist,3
2,E3,39,P20,scen,4
2,E4,73,P2,fist,3
2,E5,4,P0.5,scen,4
2,E6,28,P8,scen,3
2,E7,113,0,blank,3
2,E8,100,P20,fist,5
2,E9,65,P0.5,fist,5
2,E10,89,P8,fist,4
2,E11,71,P2,fist,1
2,F2,54,0,blank,4
2,F3,67,P1,fist,2
2,F4,70,P1,fist,5
2,F5,118,0,blank,3
2,F6,68,P1,fist,3
2,F7,63,P0.5,fist,3
2,F8,17,P4,scen,2
2,F9,93,P10,fist,3
2,F10,56,0,blank,1
2,F11,112,0,blank,2
2,G2,29,P8,scen,4
2,G3,41,P35,scen,1
2,G4,90,P8,fist,5
2,G5,108,P50,fist,3
2,G6,84,P6,fist,4
2,G7,14,P2,scen,4
2,G8,96,P20,fist,1
2,G9,43,P35,scen,3
2,G10,86,P8,fist,1
2,G11,49,P50,scen,4
